"","codigo_comuna","nombre_comuna","SituacionFinal","n_estudiantes"
"573",9118,"TOLTÉN","Reprobado",5
"574",9118,"TOLTÉN","Retirado",99
"575",9119,"VILCÚN","Promovido",2225
"576",9119,"VILCÚN","Reprobado",37
"577",9119,"VILCÚN","Retirado",179
"578",9120,"VILLARRICA","Promovido",5443
"579",9120,"VILLARRICA","Reprobado",35
"580",9120,"VILLARRICA","Retirado",635
"581",9121,"CHOLCHOL","Promovido",1015
"582",9121,"CHOLCHOL","Reprobado",17
"583",9121,"CHOLCHOL","Retirado",100
"584",9121,"CHOLCHOL",NA,1
"585",9201,"ANGOL","Promovido",4066
"586",9201,"ANGOL","Reprobado",27
"587",9201,"ANGOL","Retirado",339
"588",9202,"COLLIPULLI","Promovido",1980
"589",9202,"COLLIPULLI","Reprobado",23
"590",9202,"COLLIPULLI","Retirado",160
"591",9203,"CURACAUTÍN","Promovido",1256
"592",9203,"CURACAUTÍN","Reprobado",12
"593",9203,"CURACAUTÍN","Retirado",131
"594",9204,"ERCILLA","Promovido",670
"595",9204,"ERCILLA","Reprobado",6
"596",9204,"ERCILLA","Retirado",57
"597",9205,"LONQUIMAY","Promovido",824
"598",9205,"LONQUIMAY","Reprobado",4
"599",9205,"LONQUIMAY","Retirado",69
"600",9206,"LOS SAUCES","Promovido",448
"601",9206,"LOS SAUCES","Reprobado",4
